arm,role,n,mean_p_zero,control_p_zero,delta,wilcoxon_p,mean_cosine,control_cosine
-H,PRIMARY,38,0.8508771929824562,0.9561403508771928,-0.10526315789473684,0.041558707296959874,0.8918627288429782,0.9106412078786534
-Q,secondary,47,0.49645390070921985,0.9148936170212766,-0.4184397163120567,1.219512847538255e-05,0.9214717642193553,0.9175553007266137
-D,negative control,25,0.8,0.9733333333333333,-0.17333333333333337,0.035636508170094124,0.9226019004057227,0.9223533597443416
-Q-D,negative control,53,0.5031446540880503,0.9245283018867925,-0.4213836477987421,2.8862558376973953e-06,0.9209521951771428,0.9188822078435473
